,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes
1,Aceguá,4300034,4595,2,0,1,0,0,60,3,,0,0,1,0,0
2,Água Santa,4300059,3939,2,0,6,0,0,41,7,,0,0,2,2,0
3,Agudo,4300109,16730,4,0,12,0,0,172,3,,0,7,5,1,2
4,Ajuricaba,4300208,7461,7,0,4,0,0,58,7,,0,3,3,1,0
5,Alecrim,4300307,6610,5,0,1,0,0,95,3,,0,4,1,0,1
6,Alegrete,4300406,76860,52,1,61,3,0,821,18,,1,147,155,4,32
7,Alegria,4300455,4116,13,0,1,0,0,43,0,,0,0,0,0,0
8,Almirante Tamandaré do Sul,4300471,2083,1,0,1,0,0,8,1,,0,0,2,1,1
9,Alpestre,4300505,7515,9,0,0,0,0,50,2,,0,1,12,0,0
10,Alto Alegre,4300554,1809,2,0,0,0,0,17,0,,0,1,0,0,0
11,Alto Feliz,4300570,3078,0,0,2,0,0,7,0,,0,1,1,0,0
12,Alvorada,4300604,211082,105,3,203,5,0,1782,557,,4,101,3947,652,177
13,Amaral Ferrador,4300638,6344,3,0,4,0,0,40,2,,0,0,4,0,0
14,Ametista do Sul,4300646,7346,3,0,4,0,0,119,9,,0,1,2,0,0
15,André da Rocha,4300661,1214,4,0,0,0,0,21,1,,0,0,2,0,0
16,Anta Gorda,4300703,6548,4,0,5,0,0,42,5,,0,0,2,0,0
17,Antônio Prado,4300802,13025,3,0,15,0,0,139,9,,0,15,14,1,7
18,Arambaré,4300851,3891,3,0,0,0,0,167,2,,0,7,2,0,1
19,Araricá,4300877,5770,7,0,7,1,0,67,1,,1,7,15,8,3
20,Aratiba,4300901,6618,5,1,3,0,0,31,1,,0,3,0,0,0
21,Arroio do Meio,4301008,20880,6,0,37,2,0,217,22,,0,30,34,6,11
22,Arroio do Padre,4301073,2674,1,0,0,0,0,8,0,,0,0,0,0,0
23,Arroio do Sal,4301057,9479,8,0,13,0,0,467,21,,0,19,32,1,16
24,Arroio do Tigre,4301206,12843,13,0,11,1,0,171,10,,0,1,11,1,3
25,Arroio dos Ratos,4301107,14198,10,1,12,0,0,138,18,,0,7,28,5,14
26,Arroio Grande,4301305,18439,10,0,16,0,0,321,8,,1,36,12,0,25
27,Arvorezinha,4301404,10231,7,4,0,1,0,134,5,,0,5,7,0,2
28,Augusto Pestana,4301503,7351,1,0,8,0,0,70,1,,0,4,3,0,0
29,Áurea,4301552,3629,3,0,2,0,0,28,0,,0,1,0,0,1
30,Bagé,4301602,122695,61,2,66,1,0,1783,146,,2,138,380,5,104
31,Balneário Pinhal,4301636,12405,25,0,18,1,0,510,20,,1,20,87,15,30
32,Barão,4301651,6395,2,0,4,0,0,41,2,,0,1,7,5,0
33,Barão de Cotegipe,4301701,6955,7,1,4,1,0,70,1,,0,4,6,2,1
34,Barão do Triunfo,4301750,6713,10,0,1,0,0,46,6,,0,0,5,3,0
35,Barra do Guarita,4301859,3237,3,0,0,0,0,25,1,,0,0,2,1,0
36,Barra do Quaraí,4301875,3808,2,0,3,0,0,90,4,,0,1,5,1,2
37,Barra do Ribeiro,4301909,13179,6,0,22,1,0,202,7,,1,7,63,5,10
38,Barra do Rio Azul,4301925,1750,0,0,0,0,0,8,0,,0,0,0,0,0
39,Barra Funda,4301958,2677,0,0,0,0,0,10,0,,0,0,3,0,0
40,Barracão,4301800,5124,8,0,4,0,0,59,3,,0,2,6,0,1
41,Barros Cassal,4302006,10681,7,0,11,1,0,77,3,,0,1,7,1,8
42,Benjamin Constant do Sul,4302055,2359,1,0,0,0,0,12,0,,0,0,2,1,0
43,Bento Gonçalves,4302105,117984,69,14,230,6,0,1810,393,,1,91,639,95,83
44,Boa Vista das Missões,4302154,2157,0,0,0,0,0,11,1,,0,0,7,1,1
45,Boa Vista do Buricá,4302204,6850,1,0,0,0,0,27,1,,0,1,0,0,0
46,Boa Vista do Cadeado,4302220,2451,0,0,1,0,0,40,0,,0,0,1,0,0
47,Boa Vista do Incra,4302238,2317,2,0,2,0,0,30,0,,0,1,1,0,0
48,Boa Vista do Sul,4302253,3045,0,0,0,0,0,22,2,,1,0,4,5,0
49,Bom Jesus,4302303,11430,9,0,8,0,0,135,7,,0,14,21,2,16
50,Bom Princípio,4302352,13268,2,0,15,0,0,132,9,,0,16,14,6,3
51,Bom Progresso,4302378,2333,3,0,0,0,0,15,1,,0,0,1,0,0
52,Bom Retiro do Sul,4302402,12548,6,0,2,0,0,144,2,,0,33,45,9,7
53,Boqueirão do Leão,4302451,7443,3,0,1,0,0,68,5,,0,0,3,0,0
54,Bossoroca,4302501,6333,6,0,2,0,0,66,3,,0,0,0,0,1
55,Bozano,4302584,2241,0,0,0,0,0,29,1,,0,1,0,0,0
56,Braga,4302600,3597,7,0,0,0,0,45,2,,0,0,1,0,1
57,Brochier,4302659,4915,0,0,3,0,0,17,2,,0,0,4,0,0
58,Butiá,4302709,21558,11,1,10,2,0,305,15,,0,65,58,1,21
59,Caçapava do Sul,4302808,34810,28,0,37,2,0,514,25,,1,42,40,1,15
60,Cacequi,4302907,13023,25,0,6,0,0,268,4,,0,22,10,0,13
61,Cachoeira do Sul,4303004,86569,36,5,27,1,0,1005,165,,0,158,152,8,120
62,Cachoeirinha,4303103,130255,71,4,259,8,0,1737,280,,2,200,2003,478,117
63,Cacique Doble,4303202,5181,1,0,2,0,0,28,1,,0,2,1,0,0
64,Caibaté,4303301,5002,8,0,6,0,0,38,2,,0,2,0,0,4
65,Caiçara,4303400,4629,6,0,0,0,0,53,0,,0,0,4,0,0
66,Camaquã,4303509,66297,45,36,89,4,0,1034,122,,1,44,218,5,47
67,Camargo,4303558,2704,5,0,0,0,0,12,2,,0,3,1,0,0
68,Cambará do Sul,4303608,6595,11,1,4,0,0,80,3,,0,2,5,0,10
69,Campestre da Serra,4303673,3307,3,1,1,0,1,35,1,,1,0,2,0,0
70,Campina das Missões,4303707,6263,1,0,0,0,0,42,3,,1,0,2,0,0
71,Campinas do Sul,4303806,5754,13,0,3,0,0,79,1,,0,4,12,1,0
72,Campo Bom,4303905,64320,23,0,64,5,0,801,283,,0,157,563,148,30
73,Campo Novo,4304002,5278,4,1,1,0,0,74,9,,0,5,6,2,2
74,Campos Borges,4304101,3800,6,0,2,0,0,58,10,,0,3,5,2,0
75,Candelária,4304200,31135,34,4,24,0,0,488,24,,1,17,49,4,8
76,Cândido Godói,4304309,6721,2,0,3,0,0,22,2,,0,1,2,0,0
77,Candiota,4304358,9277,6,0,6,0,0,217,13,,0,4,3,0,3
78,Canela,4304408,43803,22,1,62,2,0,962,50,,0,54,93,7,49
79,Canguçu,4304507,54348,45,0,16,3,0,474,27,,0,4,36,4,25
80,Canoas,4304606,352097,227,4,350,8,0,4763,951,,5,254,4008,1121,342
81,Canudos do Vale,4304614,1658,1,0,0,0,0,4,0,,0,0,2,0,0
82,Capão Bonito do Sul,4304622,2166,7,0,0,0,0,51,0,,0,1,1,0,0
83,Capão da Canoa,4304630,49848,37,1,162,2,0,1253,147,,2,92,294,20,84
84,Capão do Cipó,4304655,3188,5,0,2,0,0,27,2,,0,0,1,2,0
85,Capão do Leão,4304663,25501,14,1,15,0,0,179,14,,0,3,42,6,18
86,Capela de Santana,4304689,11918,4,0,8,2,0,152,5,,0,18,17,8,7
87,Capitão,4304697,3183,1,1,2,0,0,21,2,,0,0,0,0,0
88,Capivari do Sul,4304671,4214,5,0,0,1,0,46,3,,0,2,10,8,4
89,Caraá,4304713,7591,3,0,0,0,0,40,3,,0,2,5,0,0
90,Carazinho,4304705,63009,62,2,89,2,0,987,87,,0,41,229,35,26
91,Carlos Barbosa,4304804,28744,8,0,23,0,0,337,25,,0,28,63,15,5
92,Carlos Gomes,4304853,1488,7,0,1,0,0,12,0,,0,0,0,0,0
93,Casca,4304903,8896,3,0,23,0,0,111,16,,0,5,16,11,4
94,Caseiros,4304952,3154,6,0,1,0,0,52,3,,0,1,3,2,2
95,Catuípe,4305009,9193,4,0,4,0,0,148,3,,0,4,5,0,2
96,Caxias do Sul,4305108,475992,253,4,831,21,0,5657,1832,,6,220,3626,976,141
97,Centenário,4305116,3020,2,0,0,0,0,3,0,,0,0,0,0,0
98,Cerrito,4305124,6124,3,0,0,0,0,85,1,,0,2,4,2,0
99,Cerro Branco,4305132,4283,3,0,0,0,0,32,1,,0,0,2,0,0
100,Cerro Grande,4305157,2558,2,0,1,0,0,15,1,,0,1,2,1,0
101,Cerro Grande do Sul,4305173,10471,2,0,5,0,0,88,24,,0,1,8,4,1
102,Cerro Largo,4305207,14201,6,0,8,0,0,99,13,,0,6,9,1,4
103,Chapada,4305306,9539,1,0,15,0,0,41,4,,0,0,4,0,1
104,Charqueadas,4305355,36958,16,3,16,1,1,283,15,,0,122,40,1,118
105,Charrua,4305371,3096,2,0,0,0,0,12,0,,0,0,1,1,0
106,Chiapetta,4305405,4152,8,0,5,0,0,42,8,,0,1,1,0,1
107,Chuí,4305439,5567,5,1,8,0,0,160,3,,0,4,29,0,0
108,Chuvisca,4305447,5084,6,0,0,0,0,44,2,,0,1,2,1,0
109,Cidreira,4305454,14465,10,1,32,2,0,454,42,,1,55,96,11,38
110,Ciríaco,4305504,4688,2,0,3,0,0,63,5,,0,0,7,3,1
111,Colinas,4305587,2884,0,0,1,0,0,18,4,,0,0,0,0,0
112,Colorado,4305603,3289,4,0,1,0,0,30,0,,0,1,0,1,0
113,Condor,4305702,6458,3,0,5,0,0,81,1,,0,1,3,0,0
114,Constantina,4305801,10120,6,0,8,0,0,67,10,,0,2,5,0,2
115,Coqueiro Baixo,4305835,1410,1,0,0,0,0,14,1,,0,0,2,0,0
116,Coqueiros do Sul,4305850,2351,0,0,0,0,0,29,1,,0,0,5,1,1
117,Coronel Barros,4305871,2782,0,0,4,0,0,20,0,,0,0,3,0,0
118,Coronel Bicaco,4305900,7374,9,0,1,0,0,128,8,,1,4,13,2,2
119,Coronel Pilar,4305934,1560,0,0,0,0,0,8,0,,0,0,1,0,0
120,Cotiporã,4305959,3976,2,0,4,0,0,51,3,,0,0,0,1,0
121,Coxilha,4305975,2959,2,0,0,0,0,31,1,,0,4,2,1,1
122,Crissiumal,4306007,14148,7,0,7,0,0,127,25,,0,3,7,1,2
123,Cristal,4306056,7839,4,0,8,0,0,98,0,,0,1,15,5,0
124,Cristal do Sul,4306072,2786,11,0,1,0,0,23,1,,0,3,1,0,0
125,Cruz Alta,4306106,63389,146,5,103,3,0,1174,151,,0,53,238,19,41
126,Cruzaltense,4306130,1926,4,1,0,0,0,13,0,,0,0,0,2,0
127,Cruzeiro do Sul,4306205,12708,4,1,14,0,0,114,12,,0,2,31,4,3
128,David Canabarro,4306304,4519,5,0,2,0,0,38,0,,0,0,0,0,0
129,Derrubadas,4306320,3006,7,0,1,0,0,16,1,,0,0,1,0,0
130,Dezesseis de Novembro,4306353,2671,7,0,1,0,0,9,1,,0,0,1,0,0
131,Dilermando de Aguiar,4306379,2942,3,0,1,0,0,69,0,,0,0,3,0,0
132,Dois Irmãos,4306403,30699,3,0,41,1,0,198,36,,1,15,40,14,5
133,Dois Irmãos das Missões,4306429,2074,3,0,1,0,0,9,0,,0,0,0,0,0
134,Dois Lajeados,4306452,3321,1,0,3,1,0,35,4,,0,1,1,1,1
135,Dom Feliciano,4306502,14487,7,0,6,0,0,84,5,,0,2,18,2,1
136,Dom Pedrito,4306601,39109,19,3,52,0,0,428,22,,0,28,29,2,31
137,Dom Pedro de Alcântara,4306551,2633,5,0,1,0,0,22,2,,0,0,4,2,1
138,Dona Francisca,4306700,3266,5,2,5,1,0,45,1,,0,0,4,0,0
139,Doutor Maurício Cardoso,4306734,4999,0,0,0,0,0,27,1,,0,1,0,0,0
140,Doutor Ricardo,4306759,1999,0,0,0,0,0,24,0,,0,0,3,1,0
141,Eldorado do Sul,4306767,38036,30,0,23,0,0,443,31,,1,51,324,51,70
142,Encantado,4306809,21961,15,0,27,0,0,361,24,,0,31,36,0,23
143,Encruzilhada do Sul,4306908,24686,16,0,19,1,0,395,26,,2,11,56,9,9
144,Engenho Velho,4306924,1534,0,0,0,0,0,8,0,,0,0,1,0,0
145,Entre-ijuís,4306932,9370,8,0,9,0,0,135,3,,0,3,2,0,1
146,Entre Rios do Sul,4306957,3034,1,0,1,0,0,53,1,,0,0,5,0,0
147,Erebango,4306973,3179,5,0,3,0,0,43,0,,0,2,3,1,3
148,Erechim,4307005,103916,130,5,157,8,0,1293,211,,2,147,225,16,88
149,Ernestina,4307054,3184,4,0,6,0,0,50,1,,0,1,3,1,0
150,Erval Grande,4307203,5053,6,0,0,1,0,33,3,,2,2,17,3,0
151,Erval Seco,4307302,7648,7,0,5,0,0,71,3,,0,0,6,0,0
152,Esmeralda,4307401,3301,4,0,0,0,0,49,0,,0,0,7,2,0
153,Esperança do Sul,4307450,3460,3,0,1,0,0,13,3,,0,0,2,2,0
154,Espumoso,4307500,15916,6,7,13,1,0,130,20,,0,9,15,4,14
155,Estação,4307559,6148,2,0,5,0,0,55,6,,0,2,3,0,1
156,Estância Velha,4307609,47325,10,0,41,1,0,476,77,,0,85,231,101,12
157,Esteio,4307708,85226,52,1,106,4,0,1353,206,,2,104,879,150,74
158,Estrela,4307807,33415,18,2,55,2,0,517,42,,0,67,104,9,25
159,Estrela Velha,4307815,3544,2,0,3,0,0,16,2,,0,0,1,0,0
160,Eugênio de Castro,4307831,2865,0,0,0,0,0,38,5,,0,1,1,0,0
161,Fagundes Varela,4307864,2622,1,0,2,0,0,19,4,,0,0,0,0,0
162,Farroupilha,4307906,69535,28,1,94,3,0,1105,268,,2,76,319,78,35
163,Faxinal do Soturno,4308003,6621,3,0,2,0,0,74,1,,0,2,2,0,0
164,Faxinalzinho,4308052,2740,5,0,0,1,0,21,0,,0,0,1,0,0
165,Fazenda Vilanova,4308078,4322,7,0,1,0,0,89,5,,0,11,19,4,1
166,Feliz,4308102,13550,5,0,9,0,0,112,9,,0,29,9,4,5
167,Flores da Cunha,4308201,29650,16,0,40,1,0,353,43,,0,13,105,28,5
168,Floriano Peixoto,4308250,1749,0,0,0,0,0,9,0,,0,0,0,0,0
169,Fontoura Xavier,4308300,10514,15,0,8,1,0,135,8,,2,1,14,2,4
170,Formigueiro,4308409,6806,12,0,6,0,0,79,2,,0,0,0,0,4
171,Forquetinha,4308433,2505,3,0,0,0,0,18,0,,0,1,0,1,0
172,Fortaleza dos Valos,4308458,4615,3,0,4,0,0,51,0,,0,0,2,0,0
173,Frederico Westphalen,4308508,31199,26,0,47,1,0,360,17,,0,88,13,5,18
174,Garibaldi,4308607,33534,6,0,34,0,0,440,55,,1,15,74,39,3
175,Garruchos,4308656,2822,6,0,1,0,0,73,2,,0,0,2,0,1
176,Gaurama,4308706,5878,0,0,2,0,0,66,4,,0,3,2,0,2
177,General Câmara,4308805,8378,5,0,12,0,0,121,1,,0,0,12,1,3
178,Gentil,4308854,1956,3,0,0,0,0,16,2,,0,0,8,5,0
179,Getúlio Vargas,4308904,17076,14,0,28,1,0,156,19,,1,19,49,5,16
180,Giruá,4309001,16965,10,0,15,0,0,216,14,,0,2,6,1,4
181,Glorinha,4309050,7471,5,0,16,0,0,122,7,,0,1,21,6,1
182,Gramado,4309100,36456,8,2,66,1,0,563,25,,0,54,38,6,15
183,Gramado dos Loureiros,4309126,2370,1,0,1,0,0,14,1,,0,1,1,1,0
184,Gramado Xavier,4309159,3750,0,0,3,0,0,28,0,,0,1,0,0,0
185,Gravataí,4309209,274329,164,10,353,10,0,2986,534,,5,142,3098,664,184
186,Guabiju,4309258,1686,1,0,0,0,0,13,0,,0,0,0,0,0
187,Guaíba,4309308,100226,107,2,68,3,0,939,75,,0,139,863,73,85
188,Guaporé,4309407,25255,16,17,58,1,0,240,14,,0,24,34,1,8
189,Guarani das Missões,4309506,8092,4,1,5,0,0,101,4,,0,2,10,0,0
190,Harmonia,4309555,4785,0,0,2,0,0,30,2,,0,0,2,1,1
191,Herval,4307104,6596,3,0,5,1,0,107,3,,0,2,0,0,1
192,Herveiras,4309571,2802,1,0,0,0,0,20,3,,0,0,5,0,0
193,Horizontina,4309605,19413,14,0,20,0,0,201,21,,0,29,9,0,7
194,Hulha Negra,4309654,6359,2,0,1,0,0,41,1,,0,1,0,0,0
195,Humaitá,4309704,4877,0,0,0,0,0,23,2,,0,3,3,0,1
196,Ibarama,4309753,4269,6,0,0,0,0,51,4,,1,0,0,0,0
197,Ibiaçá,4309803,4823,4,0,4,0,0,67,4,,0,0,7,2,1
198,Ibiraiaras,4309902,8184,3,0,4,0,0,84,5,,0,0,2,3,0
199,Ibirapuitã,4309951,3860,6,0,2,0,0,46,4,,0,2,6,2,1
200,Ibirubá,4310009,20973,7,0,37,1,0,199,17,,0,5,11,2,5
201,Igrejinha,4310108,33942,18,0,40,3,0,335,28,,2,74,87,23,31
202,Ijuí,4310207,86392,46,0,141,1,0,1003,75,,0,254,111,12,51
203,Ilópolis,4310306,4172,3,0,4,0,0,15,1,,1,3,6,1,0
204,Imbé,4310330,21478,21,1,60,3,0,772,52,,1,58,210,29,29
205,Imigrante,4310363,3175,0,0,0,0,0,21,1,,0,0,1,0,0
206,Independência,4310405,6938,6,0,4,1,0,91,3,,0,1,0,0,0
207,Inhacorá,4310413,2309,7,0,1,0,0,22,0,,0,0,0,0,0
208,Ipê,4310439,6143,8,0,3,0,0,97,2,,0,3,5,1,7
209,Ipiranga do Sul,4310462,1908,5,0,1,0,0,25,1,,0,0,0,1,0
210,Iraí,4310504,8042,5,0,6,1,0,71,7,,0,14,7,1,8
211,Itaara,4310538,5177,3,0,4,0,0,123,1,,0,2,5,1,1
212,Itacurubi,4310553,3221,1,0,3,0,0,60,0,,0,0,1,0,0
213,Itapuca,4310579,2223,6,0,0,0,0,35,2,,0,0,4,2,0
214,Itaqui,4310603,38471,33,4,30,0,0,544,15,,0,40,106,9,28
215,Itati,4310652,2728,2,0,1,0,0,13,2,,0,2,5,0,0
216,Itatiba do Sul,4310702,3694,1,0,0,0,0,19,1,,0,0,1,0,0
217,Ivorá,4310751,2015,0,0,3,0,0,23,1,,0,0,0,0,0
218,Ivoti,4310801,22959,1,1,29,0,0,140,25,,0,21,20,3,1
219,Jaboticaba,4310850,3971,3,0,4,0,0,23,7,,0,3,8,0,0
220,Jacuizinho,4310876,2436,1,0,1,0,0,18,2,,0,0,0,0,0
221,Jacutinga,4310900,3483,1,0,1,0,0,23,1,,0,1,0,0,0
222,Jaguarão,4311007,28358,9,0,32,2,0,516,43,,0,23,45,0,19
223,Jaguari,4311106,10712,9,0,1,0,0,70,0,,0,6,7,0,3
224,Jaquirana,4311122,4183,2,0,4,0,0,76,0,,0,2,5,0,2
225,Jari,4311130,3454,1,0,0,0,0,34,0,,0,0,0,0,0
226,Jóia,4311155,8219,9,0,6,1,0,71,0,,0,0,2,0,1
227,Júlio de Castilhos,4311205,19522,7,0,27,0,0,373,17,,0,19,25,1,6
228,Lagoa Bonita do Sul,4311239,2712,0,0,1,0,0,14,3,,0,0,0,0,0
229,Lagoa dos Três Cantos,4311270,1936,0,1,0,0,0,10,1,,0,0,1,0,1
