,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes
1,Aceguá,4300034,4142,0,0,0,0,0,5,0,0,0,0,0,0,0
2,Água Santa,4300059,3820,0,0,1,0,0,12,2,0,0,0,0,0,0
3,Agudo,4300109,17585,0,0,14,0,0,163,7,1,0,0,4,1,0
4,Ajuricaba,4300208,7725,0,0,10,0,0,78,2,0,0,0,0,0,1
5,Alecrim,4300307,8339,0,0,0,0,0,45,0,0,0,0,1,0,0
6,Alegrete,4300406,84639,0,0,77,1,0,1838,45,20,0,113,224,6,6
7,Alegria,4300455,5241,0,0,1,0,0,21,0,1,0,0,2,0,0
8,Almirante Tamandaré do Sul,4300471,2217,0,0,0,0,0,17,0,0,0,0,0,0,0
9,Alpestre,4300505,10001,0,0,0,0,0,87,1,1,0,0,11,0,0
10,Alto Alegre,4300554,2100,0,0,0,0,0,4,2,0,0,0,1,0,0
11,Alto Feliz,4300570,2873,0,0,2,0,0,7,0,0,0,0,4,0,0
12,Alvorada,4300604,190223,0,0,135,5,1,3519,198,76,4,218,2147,100,40
13,Amaral Ferrador,4300638,5905,0,0,1,0,0,42,1,0,0,0,3,0,0
14,Ametista do Sul,4300646,7556,0,0,3,0,0,74,7,1,0,3,3,1,1
15,André da Rocha,4300661,1128,0,0,0,0,0,8,0,0,0,0,0,0,0
16,Anta Gorda,4300703,6367,0,1,1,0,0,41,2,0,0,0,5,1,0
17,Antônio Prado,4300802,13084,0,0,12,1,0,212,12,0,0,4,5,3,1
18,Arambaré,4300851,3930,0,0,0,0,0,37,0,0,0,1,0,0,0
19,Araricá,4300877,4254,0,0,1,0,0,24,0,0,0,1,13,2,0
20,Aratiba,4300901,7115,0,0,3,0,0,64,2,0,0,0,1,0,0
21,Arroio do Meio,4301008,17535,0,0,42,1,0,245,11,1,0,5,12,1,1
22,Arroio do Padre,4301073,2625,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Arroio do Sal,4301057,5812,0,1,16,0,0,344,7,1,0,10,9,1,2
24,Arroio do Tigre,4301206,12499,0,0,6,0,0,170,16,0,0,1,7,0,1
25,Arroio dos Ratos,4301107,13557,0,0,21,0,0,221,4,3,0,1,19,5,1
26,Arroio Grande,4301305,19358,0,0,15,0,0,216,4,2,0,3,4,0,0
27,Arvorezinha,4301404,10437,0,2,8,0,0,132,5,0,0,1,7,0,0
28,Augusto Pestana,4301503,7743,0,0,6,0,0,58,3,0,0,1,3,1,0
29,Áurea,4301552,3903,0,0,1,0,0,19,1,0,0,0,1,0,0
30,Bagé,4301602,117377,0,1,121,3,0,3062,164,16,0,26,241,3,7
31,Balneário Pinhal,4301636,8102,0,0,21,0,0,402,18,2,0,4,29,1,2
32,Barão,4301651,5528,0,0,6,0,0,34,1,0,0,1,3,0,0
33,Barão de Cotegipe,4301701,6671,0,0,0,0,0,69,1,0,0,0,1,0,0
34,Barão do Triunfo,4301750,6768,0,0,7,0,0,114,9,2,0,0,10,3,0
35,Barra do Guarita,4301859,3043,0,0,1,0,0,24,0,0,0,0,0,0,0
36,Barra do Quaraí,4301875,3914,0,0,1,0,0,71,0,0,0,0,3,0,0
37,Barra do Ribeiro,4301909,12139,0,0,18,0,0,365,12,3,0,1,25,0,2
38,Barra do Rio Azul,4301925,2360,0,0,0,0,0,7,0,0,0,0,0,0,0
39,Barra Funda,4301958,2306,0,0,2,0,0,3,0,0,0,0,0,0,0
40,Barracão,4301800,5619,0,0,1,0,0,56,3,0,0,0,3,0,0
41,Barros Cassal,4302006,11518,0,0,2,0,0,118,3,3,0,1,8,1,0
42,Benjamin Constant do Sul,4302055,2787,0,0,0,0,0,4,1,0,0,0,0,0,0
43,Bento Gonçalves,4302105,95987,1,0,144,6,0,2271,266,5,1,60,265,39,16
44,Boa Vista das Missões,4302154,2205,1,0,0,0,0,12,0,1,0,0,3,0,0
45,Boa Vista do Buricá,4302204,6709,0,0,6,0,0,40,1,1,0,0,1,0,0
46,Boa Vista do Cadeado,4302220,2469,0,0,0,0,0,11,2,0,0,0,0,0,0
47,Boa Vista do Incra,4302238,2328,0,0,0,0,0,5,0,0,0,0,0,0,0
48,Boa Vista do Sul,4302253,2850,0,0,12,0,0,19,1,0,0,1,4,0,0
49,Bom Jesus,4302303,12185,0,0,6,0,0,155,1,1,0,1,9,0,2
50,Bom Princípio,4302352,10073,0,2,4,0,0,41,0,0,0,0,6,0,0
51,Bom Progresso,4302378,2781,0,0,1,0,0,16,0,0,0,0,0,0,0
52,Bom Retiro do Sul,4302402,11072,0,0,6,0,0,96,1,0,0,1,13,0,1
53,Boqueirão do Leão,4302451,7922,0,0,0,0,0,6,0,1,0,0,0,0,1
54,Bossoroca,4302501,7684,0,0,3,0,0,91,3,2,0,0,3,0,0
55,Bozano,4302584,2323,0,0,0,0,0,3,0,0,0,0,0,0,0
56,Braga,4302600,4189,0,0,1,0,0,47,0,1,0,1,1,0,0
57,Brochier,4302659,4488,0,0,0,0,0,22,2,0,0,0,2,0,0
58,Butiá,4302709,20685,0,0,17,1,0,297,1,3,0,25,26,0,8
59,Caçapava do Sul,4302808,35097,0,0,21,0,0,420,10,3,0,23,33,1,2
60,Cacequi,4302907,15185,0,0,22,1,0,307,2,0,0,19,7,1,9
61,Cachoeira do Sul,4303004,88531,0,1,241,3,0,2223,85,10,1,34,178,2,5
62,Cachoeirinha,4303103,111705,0,0,137,1,0,1635,247,18,3,60,862,219,6
63,Cacique Doble,4303202,4894,0,1,4,0,0,8,0,0,0,0,1,0,0
64,Caibaté,4303301,5263,0,0,2,0,0,35,1,0,0,0,2,0,0
65,Caiçara,4303400,5602,0,0,1,0,0,3,0,0,0,0,0,0,0
66,Camaquã,4303509,62008,0,2,125,1,0,1468,101,11,0,58,104,1,6
67,Camargo,4303558,2547,0,0,2,0,0,16,0,2,0,1,1,0,0
68,Cambará do Sul,4303608,6970,0,2,3,0,0,40,2,0,0,0,0,0,0
69,Campestre da Serra,4303673,3223,0,0,1,0,0,0,1,0,0,0,1,0,0
70,Campina das Missões,4303707,6955,0,1,11,0,0,29,0,1,0,0,3,0,0
71,Campinas do Sul,4303806,5735,0,0,2,0,0,53,3,0,0,5,0,0,1
72,Campo Bom,4303905,56427,0,0,82,2,0,1330,109,4,0,56,272,39,3
73,Campo Novo,4304002,6605,0,0,6,0,0,117,1,2,0,5,7,1,0
74,Campos Borges,4304101,3786,0,0,1,0,0,11,2,1,0,0,2,0,0
75,Candelária,4304200,30220,0,1,31,0,0,703,14,4,0,8,36,0,6
76,Cândido Godói,4304309,7089,0,0,5,0,0,22,0,0,0,0,1,0,0
77,Candiota,4304358,8329,0,0,5,1,0,135,2,0,0,1,1,0,0
78,Canela,4304408,35436,0,0,45,1,0,735,30,4,1,20,59,3,9
79,Canguçu,4304507,52648,0,0,13,0,0,288,11,2,0,7,45,2,2
80,Canoas,4304606,315364,0,1,426,9,0,6481,1094,61,5,182,3272,562,39
81,Canudos do Vale,4304614,1970,0,0,0,0,0,6,0,0,0,0,0,0,0
