LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS,
-30.032651,-51.181636,R DESEMBARGADOR AUGUSTO LOUREIRO LIMA,R ARMANDO PEREIRA CAMARA,COLISAO,0,2013-01-01T02:10:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2013,2,1,
-30.059863,-51.191979,AV BENTO GONCALVES,R BARAO DO AMAZONAS,ABALROAMENTO,0,2013-01-01T03:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,LESTE,1,1,2013,3,1,
-30.047841,-51.218231,AV IPIRANGA,AV ERICO VERISSIMO,ABALROAMENTO,0,2013-01-01T04:50:00,TERCA-FEIRA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,CHUVOSO,NOITE,CENTRO,1,1,2013,4,1,
-30.155275,-51.179404,AV EDGAR PIRES DE CASTRO,,CAPOTAGEM,0,2013-01-01T07:15:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2013,7,5,
-30.026771,-51.18903,R ANITA GARIBALDI,,CHOQUE,0,2013-01-01T07:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2013,7,1,
-30.038671,-51.122363,AV PROTASIO ALVES,AV MANOEL ELIAS,ABALROAMENTO,0,2013-01-01T08:15:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NUBLADO,DIA,LESTE,1,1,2013,8,1,
-30.038671,-51.122363,AV PROTASIO ALVES,AV MANOEL ELIAS,ABALROAMENTO,0,2013-01-01T11:00:00,TERCA-FEIRA,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,CHUVOSO,DIA,LESTE,1,1,2013,11,5,
-30.069301,-51.214591,R SEPE TIARAJU,,COLISAO,0,2013-01-01T12:00:00,TERCA-FEIRA,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,BOM,DIA,SUL,1,1,2013,12,1,
-30.004277,-51.143308,R WALT DISNEY,,CHOQUE,0,2013-01-01T16:00:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,1,1,2013,16,5,
-30.016119,-51.113838,R DR CARLOS MARIA BINS,,CHOQUE,0,2013-01-01T18:10:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,1,1,2013,18,5,
-30.042411,-51.179751,AV PROTASIO ALVES,,ABALROAMENTO,0,2013-01-01T20:40:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,1,1,2013,20,1,
-30.041423,-51.150892,AV PROTASIO ALVES,,ABALROAMENTO,0,2013-01-01T21:00:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,BOM,NOITE,LESTE,1,1,2013,21,1,
-30.037498,-51.222311,R GEN LIMA E SILVA,,CHOQUE,0,2013-01-01T22:00:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,NUBLADO,NOITE,CENTRO,1,1,2013,22,1,
-30.172681,-51.178379,AV JUCA BATISTA,,EVENTUAL,0,2013-01-01T22:30:00,TERCA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,1,1,2013,22,1,
-30.061837,-51.185023,R DR SALVADOR FRANCA,,CHOQUE,0,2013-01-02T00:00:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,2,1,2013,0,1,
-30.063261,-51.185665,AV BENTO GONCALVES,,ABALROAMENTO,0,2013-01-02T01:05:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,2,1,2013,1,5,
-30.036288,-51.220035,AV JOAO PESSOA,,COLISAO,0,2013-01-02T03:45:00,QUARTA-FEIRA,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,BOM,NOITE,CENTRO,2,1,2013,3,5,
-30.039631,-51.171646,AV PROTASIO ALVES,R PROF CRISTIANO FISCHER,ABALROAMENTO,0,2013-01-02T06:50:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2013,6,1,
-30.059863,-51.191979,AV BENTO GONCALVES,R BARAO DO AMAZONAS,ABALROAMENTO,0,2013-01-02T07:20:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2013,7,1,
-30.056034,-51.159441,AV IPIRANGA,AV JOAQUIM PORTO VILLANOVA,COLISAO,0,2013-01-02T07:30:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2013,7,5,
-30.07006,-51.16298,R SALDANHA DA GAMA,,ABALROAMENTO,0,2013-01-02T08:15:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2013,8,5,
-30.042756,-51.189723,AV PROTASIO ALVES,,ABALROAMENTO,0,2013-01-02T09:00:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2013,9,1,
-30.086312,-51.233913,R COMANDAI,,ABALROAMENTO,0,2013-01-02T11:40:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,SUL,2,1,2013,11,1,
-30.041634,-51.221291,R JOSE DO PATROCINIO,,CHOQUE,0,2013-01-02T11:50:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,CENTRO,2,1,2013,11,1,
-30.043229,-51.138508,AV PROTASIO ALVES,R EUCLIDES TRICHES,COLISAO,0,2013-01-02T12:27:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,LESTE,2,1,2013,12,1,
-30.031456,-51.219973,R SARMENTO LEITE,TUN NS DA CONCEICAO-AC RUA SARMENTO LEITE,ABALROAMENTO,0,2013-01-02T12:41:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2013,12,1,
-30.001138,-51.137654,R BADEN POWELL,,CHOQUE,0,2013-01-02T13:00:00,QUARTA-FEIRA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,BOM,DIA,NORTE,2,1,2013,13,1,
-30.004256,-51.200779,R CAIRU,,ABALROAMENTO,0,2013-01-02T13:15:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,NORTE,2,1,2013,13,5,
-30.051865,-51.206829,AV BENTO GONCALVES,,COLISAO,0,2013-01-02T13:35:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,LESTE,2,1,2013,13,1,
-30.033136,-51.178764,AV CARLOS GOMES,,COLISAO,0,2013-01-02T13:40:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,LESTE,2,1,2013,13,1,
-30.003233,-51.19038,R DR JOAO INACIO,R SOUZA REIS,ABALROAMENTO,0,2013-01-02T13:50:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2013,13,1,
-30.087213,-51.131878,ESTR JOAO DE OLIVEIRA REMIAO,,QUEDA,0,2013-01-02T14:00:00,QUARTA-FEIRA,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,2,1,2013,14,5,
-30.004608,-51.193516,R ARABUTAN,,ABALROAMENTO,0,2013-01-02T14:20:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2013,14,1,
-29.998945,-51.190658,AV CEARA,R DEZOITO DE NOVEMBRO,ABALROAMENTO,0,2013-01-02T15:15:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NUBLADO,DIA,NORTE,2,1,2013,15,1,
-30.031066,-51.223429,R PROF ANNES DIAS,,COLISAO,0,2013-01-02T15:30:00,QUARTA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,2,1,2013,15,1,
-30.081243,-51.211136,AV TERESOPOLIS,,ATROPELAMENTO,0,2013-01-02T16:38:00,QUARTA-FEIRA,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2013,16,13,
-30.01203,-51.17876,R SERRO AZUL,AV GEN EMILIO LUCIO ESTEVES,CHOQUE,0,2013-01-02T16:48:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NUBLADO,DIA,NORTE,2,1,2013,16,1,
-30.003019,-51.170819,AV SERTORIO,,COLISAO,0,2013-01-02T17:20:00,QUARTA-FEIRA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,BOM,DIA,NORTE,2,1,2013,17,1,
-30.132266,-51.233305,R DEA COUFAL,AV TRAMANDAI,ABALROAMENTO,0,2013-01-02T17:25:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2013,17,1,
-30.083936,-51.240269,AV CHUI,,QUEDA,0,2013-01-02T17:25:00,QUARTA-FEIRA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,BOM,DIA,SUL,2,1,2013,17,5,
-30.081282,-51.211002,AV TERESOPOLIS,,COLISAO,0,2013-01-02T18:15:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,2,1,2013,18,1,
-30.036876,-51.171314,R LUIZ VOELCKER,,ABALROAMENTO,0,2013-01-02T18:35:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,LESTE,2,1,2013,18,1,
-30.03014,-51.151351,AV DO FORTE,,ABALROAMENTO,0,2013-01-02T18:45:00,QUARTA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,NORTE,2,1,2013,18,5,
-30.060533,-51.222157,R JOSE DE ALENCAR,,COLISAO,0,2013-01-02T19:30:00,QUARTA-FEIRA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,SUL,2,1,2013,19,1,
-30.057641,-51.183922,AV IPIRANGA,R DR SALVADOR FRANCA,ABALROAMENTO,0,2013-01-02T20:40:00,QUARTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,2,1,2013,20,1,
-30.12568,-51.101972,R PORTO ALEGRE-LOMBA DO PINHEIRO,,CHOQUE,0,2013-01-02T22:15:00,QUARTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,LESTE,2,1,2013,22,5,
-30.009445,-51.177789,AV BRASILIANO INDIO DE MORAES,,CAPOTAGEM,0,2013-01-02T22:20:00,QUARTA-FEIRA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,2,1,2013,22,5,
