LATITUDE,LONGITUDE,LOG1,LOG2,TIPO_ACID,QUEDA_ARR,DATA_HORA,DIA_SEM,FERIDOS,FERIDOS_GR,MORTES,MORTE_POST,FATAIS,AUTO,TAXI,LOTACAO,ONIBUS_URB,ONIBUS_MET,ONIBUS_INT,CAMINHAO,MOTO,CARROCA,BICICLETA,OUTRO,TEMPO,NOITE_DIA,REGIAO,DIA,MES,ANO,FX_HORA,UPS
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,COLISAO,0,2015-01-06T10:30:00,TERCA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,6,1,2015,10,1
-30.026341,-51.224661,PCA RUI BARBOSA,,COLISAO,0,2015-01-26T08:45:00,SEGUNDA-FEIRA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,BOM,DIA,CENTRO,26,1,2015,8,1
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,COLISAO,0,2015-02-09T17:30:00,SEGUNDA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,9,2,2015,17,1
-30.026341,-51.224661,PCA RUI BARBOSA,,ABALROAMENTO,0,2015-02-25T12:00:00,QUARTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,BOM,DIA,CENTRO,25,2,2015,12,1
-30.055665,-51.198447,AV BENTO GONCALVES,,ABALROAMENTO,0,2015-03-09T14:00:00,SEGUNDA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,LESTE,9,3,2015,14,5
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,ABALROAMENTO,0,2015-03-12T15:30:00,QUINTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,12,3,2015,15,1
-29.997291,-51.193748,AV FARRAPOS,R PROF SARMENTO BARATA,CHOQUE,0,2015-03-20T05:00:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NUBLADO,NOITE,NORTE,20,3,2015,5,1
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,ABALROAMENTO,0,2015-03-29T11:30:00,DOMINGO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,29,3,2015,11,1
-30.079403,-51.197833,AV PROF OSCAR PEREIRA,,ABALROAMENTO,0,2015-04-05T17:30:00,DOMINGO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,SUL,5,4,2015,17,5
-30.055105,-51.210828,AV PROF OSCAR PEREIRA,,ATROPELAMENTO,0,2015-04-26T19:15:00,DOMINGO,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,BOM,NOITE,SUL,26,4,2015,19,5
-30.037378,-51.226213,AV LOUREIRO DA SILVA,,ATROPELAMENTO,0,2015-04-30T18:00:00,QUINTA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,CENTRO,30,4,2015,18,5
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,ABALROAMENTO,0,2015-05-17T15:00:00,DOMINGO,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,BOM,DIA,CENTRO,17,5,2015,15,1
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,COLISAO,0,2015-05-19T12:10:00,TERCA-FEIRA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,19,5,2015,12,1
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,ABALROAMENTO,0,2015-06-19T16:45:00,SEXTA-FEIRA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,BOM,DIA,CENTRO,19,6,2015,16,1
-30.029549,-51.222703,PCA DOM FELICIANO,,ABALROAMENTO,0,2015-06-23T14:55:00,TERCA-FEIRA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,BOM,DIA,CENTRO,23,6,2015,14,1
-30.029549,-51.222703,PCA DOM FELICIANO,,ABALROAMENTO,0,2015-07-21T17:00:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,BOM,DIA,CENTRO,21,7,2015,17,5
-30.017355,-51.108085,R CARLOS ESTEVAO,,ATROPELAMENTO,0,2015-08-04T20:37:00,TERCA-FEIRA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BOM,NOITE,NORTE,4,8,2015,20,5
-30.023273,-51.218406,LG VESPASIANO JULIO VEPPO,,CHOQUE,0,2015-08-07T10:00:00,SEXTA-FEIRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CHUVOSO,DIA,CENTRO,7,8,2015,10,1
