LATITUDE,LONGITUDE,esfera,orgao,nome,ramal,endereco,predio,pavto,apto,sn,valor_divida,data_divida,cnpj,competencia,consumidor,orgao_pagador
-29.9812131,   -51.182538,   F,   124,   TRENSURB EST ANCHIETA,   32522,   AV ERNESTO NEUGEBAUER,   1546,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-29.9777239,   -51.180220,   F,   124,   TRENSURB EST ANCHIETA,   32530,   AV ERNESTO NEUGEBAUER,   1800,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-29.9847124,   -51.201607,   F,   124,   TRENSURB EST ANCHIETA,   41599,   R VOLUNTARIOS DA PATRIA,   4600,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   248,   0
-29.9973973,   -51.197093,   F,   124,   TRENSURB EST ANCHIETA,   43141,   AV FARRAPOS,   4100,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   272,   0
-29.9984082,   -51.200873,   F,   124,   TRENSURB EST ANCHIETA,   43397,   R SANTOS PEDROSO,   327,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   280,   0
-30.0072194,   -51.209078,   F,   124,   TRENSURB EST ANCHIETA,   50075,   R VOLUNTARIOS DA PATRIA,   3060,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   329,   0
-30.0232479,   -51.221037,   F,   124,   TRENSURB EST ANCHIETA,   102180,   AV MAUA,   2200,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   744,   0
-30.0250905,   -51.224957,   F,   124,   TRENSURB EST ANCHIETA,   649066,   AV MAUA,   1350,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2313,   0
-29.9883203,   -51.174468,   F,   124,   TRENSURB EST ANCHIETA,   3595978,   AV SEVERO DULLIUS,   2000,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3072932,   0
-30.0054182,   -51.194522,   F,   426,   PRESIDENCIA DA REPUBLICA-SAE DI RS,   58920,   AV PARANA,   961,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   400,   0
-30.0056024,   -51.194587,   F,   426,   PRESIDENCIA DA REPUBLICA-SAE DI RS,   58939,   AV PARANA,   975,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   418,   0
-30.0057501,   -51.194695,   F,   426,   PRESIDENCIA DA REPUBLICA-SAE DI RS,   58947,   AV PARANA,   991,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   426,   0
-29.9990118,   -51.162637,   F,   981,   EBCT,   153338,   AV SERTORIO,   4222,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   981,   0
-30.0302108,   -51.235851,   F,   2240,   DNIT-SUPERINTENDENCIA REGIONAL NO ESTADO DO RGS.,   648701,   R SIQUEIRA CAMPOS,   580,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2240,   0
-29.9780224,   -51.180651,   F,   2240,   DNIT-SUPERINTENDENCIA REGIONAL NO ESTADO DO RGS.,   3688208,   AV ERNESTO NEUGEBAUER,   2300,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   4892707000534,   201810,   3275078,   0
-29.9906184,   -51.189123,   F,   2240,   DNIT-SUPERINTENDENCIA REGIONAL NO ESTADO DO RGS.,   3688224,   R DIRETOR AUGUSTO PESTANA,   1411,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   4892707000534,   201810,   3275078,   0
-30.0281106,   -51.232139,   F,   2259,   DRT-DELEGACIA REGIONAL DO TRABALHO,   648752,   AV MAUA,   1013,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2259,   0
-30.0282187,   -51.231590,   F,   2267,   MIN. DA FAZENDA-DELEGACIA DE POA,   648760,   AV SEPULVEDA,   53,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2267,   0
-30.0088458,   -51.198884,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   86550,   R ERNESTO FONTOURA,   957,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   663,   0
-30.0095813,   -51.201581,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   88501,   AV GUIDO MONDIN,   396,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   680,   0
